,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,treatment
23,Missouri,33.0,"4,297,028","2,057","1,415,951","4,477,478","825,050","588,844",2008,,Primary,,4729200.0,618900.0,175800.0,18100.0,80300.0,,102300.0,5728200.0,,,0
25,New Jersey,29.2,"5,850,338",,"1,707,400","6,642,923","1,141,199","566,201",2008,,Primary,,5240200.0,1085700.0,1399200.0,10200.0,633500.0,,125100.0,8494600.0,,,0
27,New York,19.5,"13,166,835",,"2,561,221","14,924,774","1,891,143","670,078",2008,,Primary,,11360200.0,2748600.0,3154900.0,50500.0,1299800.0,6100.0,323800.0,18944000.0,,,0
28,North Dakota,5.9,"489,003",,"28,887","498,641","19,102","9,785",2008,,Caucus,,550200.0,4200.0,12600.0,33000.0,,,6900.0,610300.0,,,0
29,Oklahoma,29.1,"2,584,090",,"752,261","2,735,269","417,207","335,054",2008,,Primary,,2507300.0,238200.0,267200.0,214200.0,59200.0,3800.0,219000.0,3508800.0,,,0
30,Tennessee,26.1,"4,522,727",,"1,178,579","4,727,718","624,764","553,815",2008,,Primary,,4662800.0,970400.0,228400.0,13600.0,77300.0,,89100.0,6045200.0,,,0
31,Utah,24.7,"1,731,819",,"428,459","1,855,254","131,403","296,061",2008,,Primary,,2202100.0,25800.0,317800.0,24900.0,51600.0,21500.0,43000.0,2686800.0,,,0
33,Kansas,2.9,"1,971,844",,"56,521","2,090,119",,"19,432",2008,,Caucus,,2172500.0,140800.0,259600.0,15900.0,56000.0,,55200.0,2701400.0,,,1
34,Louisiana,17.7,"3,083,603",,"545,515","3,235,413","384,346","161,169",2008,,Primary,,2658000.0,1335400.0,146100.0,21300.0,62200.0,,50200.0,4273800.0,,,0
37,Maine,4.9,"1,023,959",,"50,008","1,041,335","44,670",,2008,,Caucus,,1215200.0,9700.0,12000.0,6100.0,9200.0,,21500.0,1274100.0,,,1
38,District of Columbia,30.1,"435,511",530,"131,103","476,698","123,994","6,211",2008,,Primary,,176700.0,301800.0,48800.0,1700.0,17600.0,,11600.0,558900.0,,,0
39,Maryland,31.5,"3,887,403",,"1,224,318","4,274,714","878,174","320,989",2008,,Primary,,3143000.0,1555700.0,365200.0,11400.0,276100.0,,117700.0,5470000.0,,,0
40,Virginia,26.9,"5,487,966",,"1,475,455","5,924,917","986,203","489,252",2008,,Primary,,4973600.0,1413300.0,504200.0,17700.0,361600.0,3900.0,144200.0,7418400.0,,,0
42,Washington ,30.6,"4,525,823",,"1,386,701","4,980,527","691,381","529,932",2008,,Primary,,,,,,,,,,,,0
43,Wisconsin,37.1,"4,105,710",,"1,524,360","4,300,601","1,113,753","410,607",2008,,Primary,,4658700.0,295500.0,277500.0,37000.0,117700.0,,80500.0,5467500.0,,,0
44,Ohio,42.4,"8,502,366",,"3,603,523","8,732,630","2,354,721","1,095,917",2008,,Primary,,9210900.0,1276300.0,285400.0,19500.0,176500.0,,188100.0,11157500.0,,,0
45,Rhode Island,28.4,"759,793",,"215,868","824,580","186,657","27,237",2008,,Primary,,793100.0,47200.0,115500.0,3200.0,29100.0,,21000.0,1009400.0,,,0
46,Texas,28.4,"14,942,119",,"4,237,308","17,523,049","2,874,986","1,362,322",2008,,Primary,,11213000.0,2591500.0,8626100.0,68800.0,819300.0,16000.0,308200.0,23643000.0,,,0
47,Vermont,40.7,"483,489",462,"196,715","491,902","155,279","40,120",2008,,Primary,,569600.0,3400.0,6200.0,,,,13100.0,599100.0,,,0
48,Wyoming,2.6,"388,310",,"9,953","402,586","8,753",,2008,,Caucus,,446500.0,4500.0,41600.0,8900.0,2900.0,,11700.0,516100.0,,,0
49,Mississippi,27.5,"2,097,253",,"577,438","2,160,244","434,110","143,286",2008,,Primary,,1661000.0,1054600.0,51400.0,11800.0,22400.0,,25100.0,2826800.0,,,0
50,Pennsylvania,34.0,"9,360,067",,"3,183,134","9,683,978","2,354,005","829,129",2008,,Primary,,9799700.0,1176300.0,566700.0,13100.0,286700.0,,157100.0,12002700.0,,,0
51,Indiana,37.3,"4,623,736",,"1,725,951","4,792,223","1,278,355","412,684",2008,,Primary,,5143900.0,515100.0,314100.0,12900.0,82900.0,,101900.0,6172900.0,,,0
52,North Carolina,32.8,"6,488,268",,"2,125,215","6,957,520","1,580,726","517,583",2008,,Primary,,5975700.0,1853900.0,657500.0,87100.0,166600.0,2700.0,142700.0,8886300.0,,,0
53,Nebraska ,20.5,"1,270,460",152,"260,150","1,336,555","94,535","136,648",2008,,Primary,,,,,,,,,,,,0
54,West Virginia,32.5,"1,408,281",,"457,382","1,428,326","456,282",,2008,,Primary,,1654600.0,55000.0,20100.0,2400.0,8100.0,,24700.0,1765200.0,,,0
55,Kentucky,29.2,"3,156,075",,"922,456","3,267,951","701,768","197,793",2008,,Primary,,3649900.0,296600.0,95900.0,5100.0,40600.0,,54800.0,4143600.0,,,0
56,Oregon,43.2,"2,711,305",,"1,170,526","2,927,075","641,499","353,476",2008,,Primary,,2963100.0,63000.0,408300.0,34800.0,124100.0,8400.0,110200.0,3711900.0,,,0
57,Idaho ,17.7,"1,033,390",,"182,627","1,114,053","42,802","168,372",2008,,Primary,,,,,,,,,,,,0
58,Montana,38.7,"737,733",,"285,215","747,985","273,793","95,730",2008,,Primary,,824400.0,2900.0,29600.0,58000.0,4800.0,,18300.0,938500.0,,,0
59,New Mexico,19.3,"1,371,818",,"264,238","1,492,570",,"110,939",2008,,Primary,,803100.0,36000.0,876200.0,162700.0,24700.0,,30800.0,1934000.0,,,0
60,South Dakota,28.4,"593,121",,"168,340","605,821","97,797","60,964",2008,,Primary,,662700.0,6700.0,21300.0,59300.0,5000.0,,14900.0,769900.0,,,0
61,Iowa,6.5,"2,250,423",,"146,354","2,347,573","25,000","121,354",2012,,Caucus,,2622600.0,84300.0,156000.0,4200.0,53500.0,2500.0,52900.0,2976000.0,,,0
62,New Hampshire,31.1,"1,001,914",,"311,311","1,034,045","61,777","249,534",2012,,Primary,,1176100.0,13500.0,38600.0,3200.0,27900.0,,20900.0,1280100.0,,,0
63,South Carolina ,17.6,"3,434,551",,"605,623","3,621,841",,"603,770",2012,,Primary,,,,,,,,,,,,0
65,Florida,12.8,"13,088,171",,"1,676,176","15,094,059",,"1,676,176",2012,,Primary,,10737900.0,2856600.0,4413400.0,39500.0,473900.0,10000.0,345600.0,18876900.0,,,0
66,Nevada,1.9,"1,772,116",,"32,894","2,065,822",,"32,894",2012,,Caucus,,1434800.0,210500.0,741300.0,23800.0,202800.0,18100.0,79600.0,2710900.0,,,0
67,Maine,0.6,"1,036,235",,"5,814","1,053,285",,"5,814",2012,,Caucus,,1218200.0,10300.0,18900.0,8200.0,12300.0,,24700.0,1292600.0,,,1
68,Colorado,1.8,"3,603,764",,"66,027","3,926,310",,"66,027",2012,,Caucus,1.0,3517600.0,188200.0,1057400.0,26100.0,144000.0,4900.0,107600.0,5045900.0,,,1
69,Minnesota,1.3,"3,837,237",,"48,916","4,075,214",,"48,916",2012,,Caucus,1.0,4332800.0,269200.0,257500.0,52800.0,220800.0,,119400.0,5256300.0,,,1
70,Missouri ,7.4,"4,415,112","1,365","326,438","4,629,154","72,888","252,185",2012,,Primary,,,,,,,,,,,,0
71,Arizona,11.9,"4,298,024",573,"511,812","4,895,942",,"511,239",2012,,Primary,,3651000.0,247400.0,1920600.0,253800.0,185200.0,8400.0,120000.0,6386300.0,,,0
72,Michigan,16.5,"7,241,314",,"1,191,386","7,547,125","194,887","996,499",2012,,Primary,,7383900.0,1330200.0,441400.0,44800.0,231000.0,,226800.0,9659300.0,,,0
73,Washington,1.1,"4,804,839",,"50,764","5,274,878",,"50,764",2012,,Caucus,,4827200.0,231100.0,787000.0,77900.0,487500.0,37300.0,285000.0,6732900.0,,,1
74,Alaska,2.8,"507,496",,"14,135","545,692",,"14,135",2012,,Caucus,,446300.0,23600.0,40300.0,100000.0,42000.0,6800.0,47200.0,706200.0,,,0
75,Georgia,15.8,"6,570,595",,"1,038,824","7,376,260","139,273","901,470",2012,,Primary,,5320600.0,2897000.0,880600.0,17400.0,325300.0,,173800.0,9616400.0,,,0
76,Idaho,4.1,"1,091,171",,"44,672","1,165,366",,"44,672",2012,,Caucus,1.0,1305400.0,6100.0,180000.0,14500.0,18900.0,,36200.0,1562500.0,,,1
77,Massachusetts,11.2,"4,720,547","1,554","529,542","5,207,006","157,563","370,425",2012,,Primary,,4830400.0,405100.0,650300.0,8000.0,369400.0,,146100.0,6410600.0,,,0
78,Minnesota,0.5,"3,839,640",,,"4,077,730","17,376",,2012,,Caucus,1.0,4332800.0,269200.0,257500.0,52800.0,220800.0,,119400.0,5256300.0,,,1
79,North Dakota,2.2,"524,296",,"11,349","534,626",,"11,349",2012,,Caucus,,593700.0,10800.0,14700.0,34200.0,7200.0,,8700.0,671900.0,,,0
80,Ohio,20.4,"8,593,587",,"1,755,965","8,854,904","542,086","1,213,879",2012,,Primary,,9073800.0,1333600.0,359300.0,19500.0,190000.0,3700.0,242100.0,11222100.0,,,0
81,Oklahoma,14.7,"2,723,104",,"399,294","2,895,300","112,771","286,523",2012,,Primary,,2510800.0,253500.0,346000.0,272100.0,65800.0,3200.0,238000.0,3689500.0,,,0
82,Tennessee,13.4,"4,682,042",,"627,228","4,939,973","79,577","547,561",2012,,Primary,,4728400.0,1037000.0,298900.0,11900.0,92000.0,2600.0,106800.0,6277400.0,,,0
83,Vermont,21.1,"489,108",,"103,264","498,432","40,992","60,850",2012,,Primary,,566700.0,5600.0,8300.0,,9100.0,,9000.0,600700.0,,,0
84,Virginia,4.6,"5,763,308",,"265,570","6,316,136",,"265,570",2012,,Primary,,5047300.0,1470000.0,658500.0,14500.0,463400.0,4000.0,207900.0,7865500.0,,,0
85,Wyoming,0.3,"420,205",,"1,308","433,545",,"1,308",2012,,Caucus,,474000.0,4300.0,53100.0,9300.0,5200.0,,13000.0,559000.0,,,0
87,Kansas,1.5,"2,041,139",,"29,857","2,170,270",,"29,857",2012,,Caucus,,2167400.0,152100.0,306900.0,23900.0,66700.0,,69500.0,2787500.0,,,1
89,Alabama,24.8,"3,506,778",,"871,025","3,701,519","205,767","621,916",2012,,Primary,,3145700.0,1220200.0,179400.0,23800.0,56700.0,,69100.0,4696000.0,,,0
90,Hawaii,1.0,"978,968",,"10,228","1,084,589",,"10,228",2012,,Caucus,,288800.0,16500.0,123200.0,2300.0,516200.0,125600.0,257700.0,1330300.0,,,1
91,Mississippi,18.2,"2,153,040",,"289,935","2,241,703","97,304","293,787",2012,,Primary,,1669200.0,1082700.0,68500.0,11500.0,22500.0,,29600.0,2884500.0,,,0
94,Illinois,17.9,"8,853,948",,"929,031","9,817,603","652,717","933,454",2012,,Primary,,7915300.0,1750100.0,2067800.0,12500.0,590500.0,,227400.0,12567900.0,,,0
95,Louisiana,10.2,"3,304,711",,"337,011","3,499,821","150,601","186,410",2012,,Primary,,2678500.0,1414000.0,199900.0,20200.0,71400.0,,71400.0,4457000.0,,,0
96,District of Columbia,13.7,"470,976",379,"64,349","519,004","58,714","5,256",2012,,Primary,,207600.0,293900.0,61500.0,1600.0,20000.0,,11400.0,596000.0,,,0
97,Maryland,14.7,"4,062,518",,"596,723","4,521,084","326,470","248,468",2012,,Primary,,3084300.0,1637300.0,498100.0,12700.0,330600.0,,156900.0,5722700.0,,,0
98,Wisconsin,25.9,"4,202,090",,"1,088,102","4,393,518","300,255","787,847",2012,,Primary,,4625000.0,322100.0,343400.0,46400.0,135700.0,,93100.0,5566100.0,,,0
105,Connecticut,2.3,"2,528,416",,"59,639","2,787,114",,"59,639",2012,,Primary,,2440900.0,327200.0,495900.0,5300.0,141500.0,,65900.0,3479300.0,,,0
106,Delaware,4.3,"658,884",,"28,592","705,473",,"28,592",2012,,Primary,,572800.0,181900.0,77200.0,2000.0,29600.0,,24300.0,888000.0,,,0
107,New York,1.4,"13,211,191",,,"15,214,317",,"190,515",2012,,Primary,,10922400.0,2719700.0,3476600.0,42600.0,1456800.0,,413700.0,19040100.0,,,0
108,Pennsylvania,14.8,"9,624,165",,"1,424,217","10,007,504","616,102","808,115",2012,,Primary,,9760800.0,1262300.0,750700.0,13000.0,349500.0,,209400.0,12347600.0,,,0
109,Rhode Island,3.0,"765,324",,"22,670","833,091","8,106","14,564",2012,,Primary,,759200.0,48300.0,135700.0,2700.0,30800.0,,31100.0,1007900.0,,,0
110,Indiana,20.2,"4,748,647",,"957,510","4,945,762","221,446","635,589",2012,,Primary,,5142300.0,561600.0,399200.0,11500.0,101900.0,,119700.0,6338800.0,,,0
111,North Carolina,31.5,"6,923,832","7,692","2,182,675","7,457,823","966,887","973,206",2012,,Primary,,6107600.0,1992500.0,818900.0,98300.0,219500.0,6400.0,196000.0,9439200.0,,,0
112,West Virginia,20.2,"1,453,549",,"293,519","1,479,209","179,908","112,416",2012,,Primary,,1680700.0,55200.0,21500.0,,11100.0,,31100.0,1801800.0,,,0
114,Nebraska,18.7,"1,331,291",175,"249,458","1,398,670","63,881","185,402",2012,,Primary,,1463200.0,80500.0,173800.0,13400.0,35500.0,,26900.0,1795100.0,,,1
115,Oregon,21.9,"2,802,257",,"614,311","3,028,846","326,356","287,955",2012,,Primary,,2975500.0,62700.0,464200.0,39800.0,144200.0,15300.0,123800.0,3825500.0,,,0
116,Arkansas,15.9,"2,114,416",,"335,885","2,252,326","162,647","152,360",2012,,Primary,,2122600.0,438300.0,192100.0,13700.0,35800.0,5000.0,52800.0,2860200.0,,,0
117,Kentucky,12.8,"3,242,289",,"415,337","3,378,854","206,218","176,160",2012,,Primary,,3653900.0,322500.0,127100.0,5900.0,53900.0,,69600.0,4235100.0,,,0
118,Texas,12.8,"15,915,758",,"2,039,641","18,989,257","590,164","1,449,477",2012,,Primary,,11265800.0,2874000.0,9756900.0,58600.0,1027500.0,16300.0,385300.0,25384300.0,,,0
119,California,22.9,"23,265,447","79,488","5,328,296","28,631,583","2,076,309","1,924,970",2012,,Primary,,14578700.0,2046600.0,14271100.0,139300.0,4969400.0,125200.0,1091100.0,37221500.0,,,0
120,Montana,31.1,"767,519",,"238,771","778,794","88,202","140,457",2012,,Primary,,853800.0,,29600.0,66000.0,5600.0,,21000.0,978700.0,,,0
121,New Jersey,8.8,"5,885,472",,"515,138","6,821,880","283,673","231,465",2012,,Primary,,5044400.0,1078000.0,1616200.0,7500.0,768100.0,,168800.0,8685500.0,,,0
122,New Mexico,16.6,"1,443,135",,"239,753","1,589,265","146,823","92,930",2012,,Primary,,812200.0,34000.0,960400.0,178400.0,25900.0,,27500.0,2039200.0,,,0
124,South Dakota,15.0,"611,746","1,331","91,736","627,383","32,113","58,292",2012,,Primary,,672600.0,14900.0,22100.0,69900.0,7100.0,,13400.0,800400.0,,,0
125,Utah,14.3,"1,836,077",,"262,425","1,977,241",,"242,272",2012,,Primary,,2240100.0,25100.0,369300.0,23800.0,61900.0,23400.0,58300.0,2801700.0,,,0
126,Iowa,15.7,"2,286,197",,,"2,403,229","171,109","186,874",2016,"357,983",Caucus,,2623500.0,98700.0,171300.0,9000.0,73600.0,,50100.0,3030400.0,,,0
127,New Hampshire,52.4,"1,035,734",,,"1,070,657","254,776","287,683",2016,"542,459",Primary,,1175900.0,13600.0,44600.0,,32700.0,,23100.0,1291300.0,,,0
130,Nevada,8.2,"1,936,072",,,"2,248,402",,"75,216",2016,"159,216",Caucus,,1441300.0,241000.0,824500.0,25100.0,240000.0,18800.0,99800.0,2890400.0,,,0
131,South Carolina,30.5,"3,663,583",,,"3,837,705","373,063",,2016,"1,118,468",Primary,,3075500.0,1280800.0,263400.0,12000.0,73100.0,,98300.0,4805300.0,,,0
132,Alabama,35.0,"3,602,334",,,"3,764,601","399,899","860,652",2016,"1,260,551",Primary,,3121800.0,1252500.0,194500.0,21400.0,57600.0,,81100.0,4730100.0,,,0
134,Arkansas,30.2,"2,137,115",,,"2,281,940","221,020","410,920",2016,"644,523",Primary,,2114900.0,441600.0,210000.0,17300.0,39500.0,7700.0,64500.0,2895400.0,,,0
136,Georgia,29.9,"6,900,387",,,"7,781,773","765,366","1,295,963",2016,"2,061,329",Primary,,5339500.0,3083400.0,938100.0,16400.0,384500.0,5200.0,233900.0,10001000.0,,,0
137,Massachusetts,37.4,"4,966,742","1,681",,"5,442,265","1,220,296","637,703",2016,"1,859,680",Primary,,4771800.0,440400.0,750600.0,8600.0,415900.0,,181100.0,6570600.0,,,0
138,Minnesota,8.1,"3,967,061",,,"4,225,114","207,109","114,245",2016,"321,354",Caucus,1.0,4352400.0,305000.0,277200.0,54200.0,261800.0,,141700.0,5392900.0,,,1
140,Oklahoma,28.6,"2,781,841",,,"2,966,460","335,843","459,922",2016,"795,765",Primary,,2520400.0,260900.0,391400.0,275300.0,71800.0,7200.0,273800.0,3800800.0,,,0
141,Tennessee,25.3,"4,874,592",,,"5,134,596","377,222","855,729",2016,"1,232,951",Primary,,4814000.0,1058900.0,338100.0,14300.0,114200.0,,124000.0,6467700.0,,,0
142,Texas,24.7,"17,299,279",,,"20,534,676","1,435,895","2,836,488",2016,"4,272,383",Primary,,11555500.0,3124600.0,10671100.0,64000.0,1264500.0,17100.0,481600.0,27178300.0,,,0
143,Vermont,39.8,"495,563",,,"506,881","135,256","61,756",2016,"197,012",Primary,,560600.0,5000.0,11100.0,2900.0,6400.0,,13600.0,599600.0,,,0
144,Virginia,30.1,"6,022,089",,,"6,549,502","785,041","1,025,425",2016,"1,810,466",Primary,,5035700.0,1495100.0,732600.0,17600.0,519200.0,5500.0,275100.0,8080900.0,,,0
146,Kansas,5.5,"2,062,778",,,"2,199,237","40,000","73,116",2016,"113,116",Caucus,,2154300.0,157400.0,329400.0,17600.0,74800.0,,82200.0,2817000.0,,,1
148,Louisiana,18.2,"3,373,552",,,"3,569,063","311,776","301,241",2016,"613,017",Primary,,2689200.0,1440900.0,220700.0,24100.0,75800.0,,79000.0,4530500.0,,,0
151,Maine,6.1,"1,054,309",,,"1,074,172","46,000",,2016,"64,650",Caucus,,1210500.0,20000.0,19400.0,7100.0,15300.0,,21300.0,1293800.0,,,1
154,Michigan,34.1,"7,419,694",,,"7,734,729","1,205,552","1,323,589",2016,"2,529,141",Primary,,7330200.0,1304100.0,477300.0,40700.0,281500.0,,258100.0,9693500.0,,,0
155,Mississippi,29.5,"2,181,159",,,"2,267,268","227,164","416,252",2016,"643,416",Primary,,1651000.0,1085900.0,80500.0,12000.0,26400.0,,31400.0,2887300.0,,,0
157,Florida,28.2,"14,445,578",,,"16,383,763","1,709,183","2,361,805",2016,"4,070,988",Primary,,11017500.0,3050800.0,5045400.0,36300.0,539400.0,10400.0,444300.0,20144000.0,,,0
158,Illinois,38.9,"9,015,796",,,"9,907,466","2,056,047","1,449,748",2016,"3,505,795",Primary,,7719800.0,1715800.0,2139000.0,12800.0,660100.0,3400.0,240300.0,12491200.0,,,0
159,Missouri,34.8,"4,518,767","3,504",,"4,706,349","629,425","939,270",2016,"1,572,199",Primary,,4708400.0,666800.0,236700.0,24900.0,112300.0,7200.0,141700.0,5898000.0,,,0
160,North Carolina,31.6,"7,266,734","5,819",,"7,816,113","1,142,916","1,149,530",2016,"2,298,265",Primary,,6255500.0,2069000.0,905300.0,103800.0,267100.0,5500.0,223800.0,9829900.0,,,0
161,Ohio,37.5,"8,738,019","4,043",,"9,004,337","1,259,754","2,014,396",2016,"3,278,193",Primary,,8975800.0,1365400.0,402900.0,13100.0,225000.0,3200.0,293300.0,11278700.0,,,0
162,Arizona,23.5,"4,659,373",880,,"5,268,830","468,461","625,770",2016,"1,095,111",Primary,,3754900.0,270000.0,2087500.0,266700.0,213600.0,11600.0,156600.0,6760900.0,,,0
163,Idaho,21.9,"1,149,007",,,"1,234,566","23,884",,2016,"251,080",Caucus,1.0,1362500.0,8600.0,202200.0,18900.0,22700.0,,33300.0,1650700.0,,,1
164,Utah,14.3,"1,963,474",,,"2,113,180","81,606","200,000",2016,"281,606",Caucus,,2361900.0,29400.0,413000.0,22800.0,70500.0,28400.0,73200.0,2999300.0,,,0
165,Alaska,6.2,"520,731",,,"553,484","10,600",,2016,"32,530",Caucus,,439200.0,20700.0,47800.0,107200.0,42600.0,8800.0,48600.0,714900.0,,,0
166,Hawaii,4.6,"1,025,208",,,"1,127,205","33,716",,2016,"47,093",Caucus,,287900.0,17600.0,139800.0,,512600.0,129600.0,275000.0,1364600.0,,,1
168,Wisconsin,49.4,"4,282,271",,,"4,491,213","1,007,600","1,105,944",2016,"2,113,544",Primary,,4605200.0,334800.0,375000.0,45800.0,154200.0,,107000.0,5623300.0,,,0
170,New York,21.2,"13,638,797",,,"15,635,714","1,970,900","921,771",2016,"2,892,671",Primary,,10683700.0,2727900.0,3665200.0,38800.0,1627800.0,6800.0,471300.0,19221500.0,,,0
171,Connecticut,21.0,"2,579,776",,,"2,831,012","328,624","213,647",2016,"542,271",Primary,,2342200.0,340100.0,546300.0,4700.0,154900.0,,76700.0,3465100.0,,,0
172,Delaware,23.5,"695,642",,,"749,184","93,640","69,892",2016,"163,532",Primary,,581900.0,191300.0,85000.0,2900.0,37300.0,,25200.0,924300.0,,,0
173,Maryland,32.8,"4,190,917",,,"4,682,409","916,763","459,066",2016,"1,375,829",Primary,,3010100.0,1716500.0,575200.0,9300.0,366400.0,,176900.0,5856500.0,,,0
174,Pennsylvania,33.7,"9,721,843",,,"10,131,664","1,681,427","1,594,475",2016,"3,275,902",Primary,,9553800.0,1272900.0,866000.0,16600.0,404100.0,3300.0,248000.0,12364700.0,,,0
175,Rhode Island,23.6,"780,998",,,"847,454","122,458","61,614",2016,"184,072",Primary,,737600.0,56600.0,153300.0,2600.0,33500.0,,28700.0,1013900.0,,,0
176,Indiana,36.0,"4,855,984",,,"5,061,304","638,779","1,110,543",2016,"1,749,322",Primary,,5129200.0,582900.0,435200.0,13500.0,133600.0,,134200.0,6431400.0,,,0
177,Nebraska,17.2,"1,349,169",705,,"1,434,986","78,510","197,430",2016,"231,595",Primary,,1475200.0,81500.0,196000.0,12200.0,42300.0,,36700.0,1845000.0,,,1
178,West Virginia,31.1,"1,434,982",,,"1,459,826","242,539","204,061",2016,"446,600",Primary,,1646900.0,61100.0,24300.0,2400.0,13600.0,,33000.0,1781700.0,,,0
179,Kentucky,21.0,"3,265,260",,,"3,423,910","454,573",,2016,"684,240",Primary,,3652100.0,342700.0,144300.0,9300.0,60600.0,,77100.0,4287700.0,,,0
180,Oregon,36.0,"2,980,345","155,253",,"3,211,041","658,102","415,103",2016,"1,073,205",Primary,,3064300.0,69800.0,510400.0,37900.0,168000.0,14500.0,149600.0,4014500.0,,,0
181,Washington,16.0,"5,095,707",,,"5,641,592",,"587,152",2016,"817,152",Primary,,4949000.0,244000.0,885900.0,77300.0,577700.0,44800.0,345500.0,7124100.0,,,1
182,California,34.0,"25,126,973","93,119",,"30,367,243","5,173,338","2,227,306",2016,"8,548,301",Primary,,14418700.0,2066000.0,15009300.0,121600.0,5448900.0,129900.0,1248000.0,38442400.0,,,0
183,Montana,35.5,"798,787",,,"813,839","126,376","156,888",2016,"283,264",Primary,,879200.0,,35600.0,61700.0,8500.0,,27600.0,1015100.0,,,0
184,New Jersey,20.4,"6,060,729",,,"6,989,532","793,548","443,062",2016,"1,236,610",Primary,,4883400.0,1090900.0,1756100.0,8200.0,833200.0,,188200.0,8762700.0,,,0
185,New Mexico,22.6,"1,455,013",,,"1,592,398","216,705","104,627",2016,"328,792",Primary,,769600.0,33400.0,986700.0,174600.0,30200.0,,33500.0,2029400.0,,,0
186,North Dakota,0.7,"578,789",,,"594,043","4,000",,2016,"4,000",Caucus,,619700.0,18600.0,22500.0,41400.0,5900.0,,17100.0,725900.0,,,0
187,South Dakota,19.9,"634,281",,,"651,157","53,006","66,879",2016,"126,128",Primary,,691500.0,11200.0,30700.0,72900.0,12500.0,,17000.0,835800.0,,,0
188,District of Columbia,20.2,"510,895",,,"563,776","100,423",,2016,"103,262",Primary,,231400.0,301700.0,71600.0,,23800.0,,15000.0,644400.0,,,0
